RFC Number,Title,Date,Page Count,Current Status,Obsoleted By,Updated By
RFC0748,Telnet randomly-lose option,"April 1, 1978",2,UNKNOWN,,
RFC1097,Telnet subliminal-message option,"April 1, 1989",3,UNKNOWN,,
RFC1149,Standard for the transmission of IP datagrams on avian carriers,"April 1, 1990",2,EXPERIMENTAL,,"RFC2549, RFC6214"
RFC1216,Gigabit network economics and paradigm shifts,"April 1, 1991",4,INFORMATIONAL,,
RFC1217,Memo from the Consortium for Slow Commotion Research (CSCR),"April 1, 1991",5,INFORMATIONAL,,
RFC1313,Today's Programming for KRFC AM 1313 Internet Talk Radio,"April 1, 1992",3,INFORMATIONAL,,
RFC1437,The Extension of MIME Content-Types to a New Medium,"April 1, 1993",6,INFORMATIONAL,,
RFC1438,Internet Engineering Task Force Statements Of Boredom (SOBs),"April 1, 1993",2,INFORMATIONAL,,
RFC1605,SONET to Sonnet Translation,"April 1, 1994",3,INFORMATIONAL,,
RFC1606,A Historical Perspective On The Usage Of IP Version 9,"April 1, 1994",4,INFORMATIONAL,,
RFC1607,A VIEW FROM THE 21ST CENTURY,"April 1, 1994",14,INFORMATIONAL,,
RFC1776,The Address is the Message,"April 1, 1995",2,INFORMATIONAL,,
RFC1924,A Compact Representation of IPv6 Addresses,"April 1, 1996",6,INFORMATIONAL,,
RFC1925,The Twelve Networking Truths,"April 1, 1996",3,INFORMATIONAL,,
RFC1926,An Experimental Encapsulation of IP Datagrams on Top of ATM,"April 1, 1996",2,INFORMATIONAL,,
RFC1927,Suggested Additional MIME Types for Associating Documents,"April 1, 1996",3,INFORMATIONAL,,
RFC2100,The Naming of Hosts,"April 1, 1997",3,INFORMATIONAL,,
RFC2321,RITA -- The Reliable Internetwork Troubleshooting Agent,"April 1, 1998",6,INFORMATIONAL,,
RFC2322,Management of IP numbers by peg-dhcp,"April 1, 1998",7,INFORMATIONAL,,
RFC2323,IETF Identification and Security Guidelines,"April 1, 1998",5,INFORMATIONAL,,
RFC2324,Hyper Text Coffee Pot Control Protocol (HTCPCP/1.0),"April 1, 1998",10,INFORMATIONAL,,RFC7168
RFC2325,Definitions of Managed Objects for Drip-Type Heated Beverage Hardware Devices using SMIv2,"April 1, 1998",8,INFORMATIONAL,,
RFC2549,IP over Avian Carriers with Quality of Service,"April 1, 1999",6,INFORMATIONAL,,
RFC2550,Y10K and Beyond,"April 1, 1999",14,INFORMATIONAL,,
RFC2551,The Roman Standards Process -- Revision III,"April 1, 1999",37,INFORMATIONAL,,
RFC2795,The Infinite Monkey Protocol Suite (IMPS),"April 1, 2000",20,INFORMATIONAL,,
RFC3091,Pi Digit Generation Protocol,"April 1, 2001",6,INFORMATIONAL,,
RFC3092,"Etymology of ""Foo""","April 1, 2001",14,INFORMATIONAL,,
RFC3093,Firewall Enhancement Protocol (FEP),"April 1, 2001",11,INFORMATIONAL,,
RFC3251,Electricity over IP,"April 1, 2002",9,INFORMATIONAL,,
RFC3252,Binary Lexical Octet Ad-hoc Transport,"April 1, 2002",16,INFORMATIONAL,,
RFC3514,The Security Flag in the IPv4 Header,"April 1, 2003",6,INFORMATIONAL,,
RFC3751,Omniscience Protocol Requirements,"April 1, 2004",9,INFORMATIONAL,,
RFC4041,Requirements for Morality Sections in Routing Area Drafts,"April 1, 2005",8,INFORMATIONAL,,
RFC4042,UTF-9 and UTF-18 Efficient Transformation Formats of Unicode,"April 1, 2005",9,INFORMATIONAL,,
RFC4824,The Transmission of IP Datagrams over the Semaphore Flag Signaling System (SFSS),"April 1, 2007",13,INFORMATIONAL,,
RFC5241,Naming Rights in IETF Protocols,"April 1, 2008",12,INFORMATIONAL,,
RFC5242,A Generalized Unified Character Code: Western European and CJK Sections,"April 1, 2008",14,INFORMATIONAL,,
RFC5513,IANA Considerations for Three Letter Acronyms,"April 1, 2009",7,INFORMATIONAL,,
RFC5514,IPv6 over Social Networks,"April 1, 2009",6,EXPERIMENTAL,,
RFC5841,TCP Option to Denote Packet Mood,"April 1, 2010",9,INFORMATIONAL,,
RFC5984,Increasing Throughput in IP Networks with ESP-Based Forwarding: ESPBasedForwarding,"April 1, 2011",9,EXPERIMENTAL,,
RFC6214,Adaptation of RFC 1149 for IPv6,"April 1, 2011",7,INFORMATIONAL,,
RFC6217,Regional Broadcast Using an Atmospheric Link Layer,"April 1, 2011",9,EXPERIMENTAL,,
RFC6592,The Null Packet,"April 1, 2012",6,INFORMATIONAL,,
RFC6593,Service Undiscovery Using Hide-and-Go-Seek for the Domain Pseudonym System (DPS),"April 1, 2012",8,EXPERIMENTAL,,
RFC6919,Further Key Words for Use in RFCs to Indicate Requirement Levels,"April 1, 2013",6,EXPERIMENTAL,,
RFC6921,Design Considerations for Faster-Than-Light (FTL) Communication,"April 1, 2013",7,INFORMATIONAL,,
RFC7168,The Hyper Text Coffee Pot Control Protocol for Tea Efflux Appliances (HTCPCP-TEA),"April 1, 2014",7,INFORMATIONAL,,
RFC7169,The NSA (No Secrecy Afforded) Certificate Extension,"April 1, 2014",3,INFORMATIONAL,,
RFC7511,Scenic Routing for IPv6,"April 1, 2015",8,INFORMATIONAL,,
RFC7514,Really Explicit Congestion Notification (RECN),"April 1, 2015",5,EXPERIMENTAL,,
RFC8135,Complex Addressing in IPv6,"April 1, 2017",16,EXPERIMENTAL,,
RFC8136,Additional Transition Functionality for IPv6,"April 1, 2017",7,INFORMATIONAL,,
RFC8140,"The Arte of ASCII: Or, An True and Accurate Representation of an Menagerie of Thynges Fabulous and Wonderful in Ye Forme of Character","April 1, 2017",16,INFORMATIONAL,,
RFC8367,Wrongful Termination of Internet Protocol (IP) Packets,"April 1, 2018",6,INFORMATIONAL,,
RFC8369,Internationalizing IPv6 Using 128-Bit Unicode,"April 1, 2018",11,INFORMATIONAL,,
RFC8565,Hypertext Jeopardy Protocol (HTJP/1.0),"April 1, 2019",11,INFORMATIONAL,,
RFC8567,Customer Management DNS Resource Records,"April 1, 2019",11,INFORMATIONAL,,
RFC8771,The Internationalized Deliberately Unreadable Network NOtation (I-DUNNO),"April 1, 2020",10,EXPERIMENTAL,,
RFC8774,The Quantum Bug,"April 1, 2020",6,INFORMATIONAL,,
RFC8962,Establishing the Protocol Police,"April 1, 2021",7,INFORMATIONAL,,
RFC9225,Software Defects Considered Harmful,"April 1, 2022",6,INFORMATIONAL,,
RFC9226,Bioctal: Hexadecimal 2.0,"April 1, 2022",7,EXPERIMENTAL,,
RFC9401,The Addition of the Death (DTH) Flag to TCP,"April 1, 2023",6,INFORMATIONAL,,
RFC9402,Concat Notation,"April 1, 2023",8,INFORMATIONAL,,
RFC9405,AI Sarcasm Detection: Insult Your AI without Offending It,"April 1, 2023",5,INFORMATIONAL,,
